frequency_Hz Strouhal SPL_dB_raw p_rms_Pa
2.46832319e+01 6.83646363e-03 4.19835074e+01 2.51307452e-03
2.48098125e+01 6.87152242e-03 3.55822354e+01 1.20265695e-03
2.49363932e+01 6.90658121e-03 2.29835383e+01 2.81972602e-04
2.50629739e+01 6.94164000e-03 3.42792879e+01 1.03512880e-03
2.51895546e+01 6.97669879e-03 3.59012590e+01 1.24765050e-03
2.53161352e+01 7.01175757e-03 3.65902041e+01 1.35064184e-03
2.54427159e+01 7.04681636e-03 3.51708743e+01 1.14702719e-03
2.55692966e+01 7.08187515e-03 4.31089323e+01 2.86072829e-03
2.56958773e+01 7.11693394e-03 4.54737274e+01 3.75592027e-03
2.58224579e+01 7.15199272e-03 4.04936200e+01 2.11695193e-03
2.59490386e+01 7.18705151e-03 4.05454604e+01 2.12962441e-03
2.60756193e+01 7.22211030e-03 4.37795742e+01 3.09035737e-03
2.62022000e+01 7.25716909e-03 4.05199317e+01 2.12337442e-03
2.63287806e+01 7.29222788e-03 3.85689395e+01 1.69619966e-03
2.64553613e+01 7.32728666e-03 4.51239453e+01 3.60767379e-03
2.65819420e+01 7.36234545e-03 3.99333943e+01 1.98472212e-03
2.67085227e+01 7.39740424e-03 3.61244912e+01 1.28013142e-03
2.68351034e+01 7.43246303e-03 3.89933403e+01 1.78113571e-03
2.69616840e+01 7.46752182e-03 3.50236324e+01 1.12774683e-03
2.70882647e+01 7.50258060e-03 3.15363846e+01 7.54830124e-04
2.72148454e+01 7.53763939e-03 3.81666228e+01 1.61942611e-03
2.73414261e+01 7.57269818e-03 4.17962428e+01 2.45947343e-03
2.74680067e+01 7.60775697e-03 3.95167678e+01 1.89177023e-03
2.75945874e+01 7.64281576e-03 3.37981704e+01 9.79351327e-04
2.77211681e+01 7.67787454e-03 3.75105412e+01 1.50160967e-03
2.78477488e+01 7.71293333e-03 3.63611055e+01 1.31548310e-03
2.79743294e+01 7.74799212e-03 2.83651929e+01 5.23949756e-04
2.81009101e+01 7.78305091e-03 4.19408248e+01 2.50075551e-03
2.82274908e+01 7.81810969e-03 4.24744005e+01 2.65919398e-03
2.83540715e+01 7.85316848e-03 4.28982881e+01 2.79218636e-03
2.84806521e+01 7.88822727e-03 4.33360672e+01 2.93652266e-03
2.86072328e+01 7.92328606e-03 3.21599375e+01 8.11011239e-04
2.87338135e+01 7.95834485e-03 3.35058772e+01 9.46943035e-04
2.88603942e+01 7.99340363e-03 2.60816296e+01 4.02820419e-04
2.89869748e+01 8.02846242e-03 3.18249355e+01 7.80327248e-04
2.91135555e+01 8.06352121e-03 4.14063044e+01 2.35150126e-03
2.92401362e+01 8.09858000e-03 3.60862198e+01 1.27450336e-03
2.93667169e+01 8.13363879e-03 4.03275801e+01 2.07686851e-03
2.94932976e+01 8.16869757e-03 2.46821120e+01 3.42874820e-04
2.96198782e+01 8.20375636e-03 3.58390795e+01 1.23875087e-03
2.97464589e+01 8.23881515e-03 1.85212672e+01 1.68691561e-04
2.98730396e+01 8.27387394e-03 4.11726446e+01 2.28908661e-03
2.99996203e+01 8.30893272e-03 4.30324628e+01 2.83565335e-03
3.01262009e+01 8.34399151e-03 4.50217751e+01 3.56548612e-03
3.02527816e+01 8.37905030e-03 3.78445128e+01 1.56047076e-03
3.03793623e+01 8.41410909e-03 3.58007571e+01 1.23329750e-03
3.05059430e+01 8.44916788e-03 2.57944038e+01 3.89717750e-04
3.06325236e+01 8.48422666e-03 3.61319968e+01 1.28123807e-03
3.07591043e+01 8.51928545e-03 3.96752173e+01 1.92659690e-03
3.08856850e+01 8.55434424e-03 3.67726879e+01 1.37931796e-03
3.10122657e+01 8.58940303e-03 3.28633994e+01 8.79427349e-04
3.11388463e+01 8.62446182e-03 3.54163612e+01 1.17990775e-03
3.12654270e+01 8.65952060e-03 4.20047417e+01 2.51922573e-03
3.13920077e+01 8.69457939e-03 3.58091216e+01 1.23448573e-03
3.15185884e+01 8.72963818e-03 4.25691563e+01 2.68836240e-03
3.16451690e+01 8.76469697e-03 3.95770179e+01 1.90493819e-03
3.17717497e+01 8.79975575e-03 3.38905572e+01 9.89823721e-04
3.18983304e+01 8.83481454e-03 3.00892072e+01 6.38984549e-04
3.20249111e+01 8.86987333e-03 3.77154164e+01 1.53744935e-03
3.21514918e+01 8.90493212e-03 3.69299583e+01 1.40451995e-03
3.22780724e+01 8.93999091e-03 4.13106106e+01 2.32573660e-03
3.24046531e+01 8.97504969e-03 3.94587718e+01 1.87918089e-03
3.25312338e+01 9.01010848e-03 4.27409715e+01 2.74207020e-03
3.26578145e+01 9.04516727e-03 3.12461975e+01 7.30028597e-04
3.27843951e+01 9.08022606e-03 4.06630530e+01 2.15865205e-03
3.29109758e+01 9.11528485e-03 3.26398396e+01 8.57081213e-04
3.30375565e+01 9.15034363e-03 3.91545471e+01 1.81450159e-03
3.31641372e+01 9.18540242e-03 3.00685528e+01 6.37466894e-04
3.32907178e+01 9.22046121e-03 4.10641034e+01 2.26065955e-03
3.34172985e+01 9.25552000e-03 3.83775001e+01 1.65922392e-03
