frequency_Hz Strouhal SPL_dB_smoothed
3.39236212e+01 9.39575515e-03 3.84795562e+01
3.40502019e+01 9.43081394e-03 3.85035325e+01
3.41767826e+01 9.46587272e-03 3.85338646e+01
3.43033632e+01 9.50093151e-03 3.85585560e+01
3.44299439e+01 9.53599030e-03 3.86011377e+01
3.45565246e+01 9.57104909e-03 3.86039437e+01
3.46831053e+01 9.60610788e-03 3.86171014e+01
3.48096860e+01 9.64116666e-03 3.86680923e+01
3.49362666e+01 9.67622545e-03 3.86829689e+01
3.50628473e+01 9.71128424e-03 3.87022998e+01
3.51894280e+01 9.74634303e-03 3.87356121e+01
3.53160087e+01 9.78140181e-03 3.86941215e+01
3.54425893e+01 9.81646060e-03 3.86832402e+01
3.55691700e+01 9.85151939e-03 3.86887522e+01
3.56957507e+01 9.88657818e-03 3.87032295e+01
3.58223314e+01 9.92163697e-03 3.86916607e+01
3.59489120e+01 9.95669575e-03 3.86909531e+01
3.60754927e+01 9.99175454e-03 3.86702792e+01
3.62020734e+01 1.00268133e-02 3.87370857e+01
3.63286541e+01 1.00618721e-02 3.87039666e+01
3.64552347e+01 1.00969309e-02 3.87085639e+01
3.65818154e+01 1.01319897e-02 3.87655742e+01
3.67083961e+01 1.01670485e-02 3.87929549e+01
3.68349768e+01 1.02021073e-02 3.88009594e+01
3.69615574e+01 1.02371661e-02 3.87723390e+01
3.70881381e+01 1.02722248e-02 3.86753291e+01
3.72147188e+01 1.03072836e-02 3.86932649e+01
3.73412995e+01 1.03423424e-02 3.87316274e+01
3.74678802e+01 1.03774012e-02 3.87310424e+01
3.75944608e+01 1.04124600e-02 3.87225181e+01
3.77210415e+01 1.04475188e-02 3.87891025e+01
3.78476222e+01 1.04825776e-02 3.87724158e+01
3.79742029e+01 1.05176364e-02 3.87019148e+01
3.81007835e+01 1.05526951e-02 3.86979429e+01
3.82273642e+01 1.05877539e-02 3.87118923e+01
3.83539449e+01 1.06228127e-02 3.87008759e+01
3.84805256e+01 1.06578715e-02 3.86917229e+01
3.86071062e+01 1.06929303e-02 3.86763355e+01
3.87336869e+01 1.07279891e-02 3.86723105e+01
3.88602676e+01 1.07630479e-02 3.86627974e+01
3.89868483e+01 1.07981067e-02 3.86314279e+01
3.91134289e+01 1.08331655e-02 3.86174655e+01
3.92400096e+01 1.08682242e-02 3.85943162e+01
3.93665903e+01 1.09032830e-02 3.86191749e+01
3.94931710e+01 1.09383418e-02 3.86469282e+01
3.96197516e+01 1.09734006e-02 3.86600440e+01
3.97463323e+01 1.10084594e-02 3.86791488e+01
3.98729130e+01 1.10435182e-02 3.87149611e+01
3.99994937e+01 1.10785770e-02 3.87390854e+01
4.01260744e+01 1.11136358e-02 3.87082793e+01
4.02526550e+01 1.11486945e-02 3.87022505e+01
4.03792357e+01 1.11837533e-02 3.87282545e+01
4.05058164e+01 1.12188121e-02 3.87484890e+01
4.06323971e+01 1.12538709e-02 3.87941164e+01
4.07589777e+01 1.12889297e-02 3.88617204e+01
4.08855584e+01 1.13239885e-02 3.88382237e+01
4.10121391e+01 1.13590473e-02 3.88417210e+01
4.11387198e+01 1.13941061e-02 3.88292135e+01
4.12653004e+01 1.14291648e-02 3.87324864e+01
4.13918811e+01 1.14642236e-02 3.87900743e+01
4.15184618e+01 1.14992824e-02 3.88451870e+01
4.16450425e+01 1.15343412e-02 3.88860134e+01
4.17716231e+01 1.15694000e-02 3.89455610e+01
4.18982038e+01 1.16044588e-02 3.89294243e+01
4.20247845e+01 1.16395176e-02 3.89452671e+01
4.21513652e+01 1.16745764e-02 3.89623129e+01
4.22779458e+01 1.17096351e-02 3.90397932e+01
4.24045265e+01 1.17446939e-02 3.90684423e+01
4.25311072e+01 1.17797527e-02 3.91902470e+01
4.26576879e+01 1.18148115e-02 3.91888558e+01
4.27842686e+01 1.18498703e-02 3.91775419e+01
4.29108492e+01 1.18849291e-02 3.91697389e+01
4.30374299e+01 1.19199879e-02 3.91813205e+01
4.31640106e+01 1.19550467e-02 3.91647958e+01
